Sample in Buffer,Sample in Window,TRIGGER,g_ila.axis_ila_wrapper_1/data_out_12b[0][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][3][11:0],g_ila.axis_ila_wrapper_1/rx_sync
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,642,326,8f1,cfc,c77,a98,3f0,4c0,aef,426,477,b4f,899,cfd,826,2ff,d07,882,30f,6bf,315,661,c98,a46,ab7,c5b,5e9,342,441,b08,c3e,59e,0
1,1,0,7c9,2f6,771,cea,b8d,bcd,501,3b2,c08,552,386,9f7,70f,cd2,9ac,364,cc6,a03,38f,54f,3b7,504,bc8,b88,952,ce6,767,2f1,365,9ab,cdb,713,0
2,2,0,953,33d,5f0,c61,a50,ca0,663,31c,cbd,6bb,30d,87c,599,c31,b0c,443,c09,b50,47a,426,4b7,3ea,a9c,c71,7c5,cf9,8f9,328,302,820,d06,8a4,0
3,3,0,ab9,403,49d,b73,8d5,cfe,7f2,2fb,d03,84c,2ff,6ea,454,b2c,c1c,56f,af3,c4d,5c2,35c,60f,330,931,cf7,63d,c8d,a73,3c4,317,697,cb1,a1d,0
4,4,0,be2,521,3a4,a2e,744,ce5,97b,34c,ccf,9cb,374,577,377,9d5,cc8,6de,98d,ce5,738,2f9,78d,2f5,7a0,cec,4e0,bb0,ba4,4d5,3a2,530,bef,b70,0
5,5,0,cb4,68c,30f,8af,5cc,c57,ade,412,c1c,b28,457,442,2fd,857,d04,86c,7fe,d02,8ce,321,91c,330,618,c7e,3cc,a75,c84,630,498,409,acc,c63,0
6,6,0,d02,81a,2f9,724,485,b58,bfc,53b,b0d,c2f,58f,368,306,6c8,cbf,9ec,674,ca4,a41,3b7,a8b,3da,4c7,b99,324,904,cf8,7b3,5e0,347,964,ced,0
7,7,0,cd5,99b,35f,5ab,38c,a07,cbb,6a7,9b7,cd5,70a,2f9,38a,557,c08,b42,511,bda,b85,4b3,bc4,4f3,3b7,a5d,2f7,77a,ceb,93a,764,2fb,7da,cfb,0
8,8,0,c39,af7,432,466,30b,884,d00,833,830,d03,895,309,478,428,af0,c4d,3f9,aad,c76,606,c92,64f,31c,8e5,33a,5fa,c6b,aae,8ed,325,652,c97,0
